,survived,pclass,age,sibsp,parch,fare,adult_male,alone,sex_male,embarked_Q,embarked_S,who_woman
72,0,2,21.0,0,0,4.310799125385514,True,True,True,False,True,False
73,0,3,26.0,1,0,2.737880811060884,True,False,True,False,False,False
74,1,3,32.0,0,0,4.05171190165724,True,True,True,False,True,False
75,0,3,25.0,0,0,2.157559320943788,True,True,True,False,True,False
76,0,3,31.333333333333332,0,0,2.1855792552411137,True,True,True,False,True,False
77,0,3,25.333333333333332,0,0,2.2027647577118348,True,True,True,False,True,False
78,1,2,0.83,0,2,3.4011973816621555,False,False,True,False,True,False
79,1,3,30.0,0,0,2.600836116795061,False,True,False,False,True,True
80,0,3,22.0,0,0,2.302585092994046,True,True,True,False,True,False
81,1,3,29.0,0,0,2.3513752571634776,True,True,True,False,True,False
82,1,3,22.0,0,0,2.1733302571367834,False,True,False,True,False,True
83,0,1,28.0,0,0,3.8732821771117156,True,True,True,False,True,False
84,1,2,17.0,0,0,2.4423470353692043,False,True,False,False,True,True
85,1,3,33.0,3,0,2.8243506567983707,False,False,False,False,True,True
86,0,3,16.0,1,3,3.5660053559634015,True,False,True,False,True,False
87,0,3,25.333333333333332,0,0,2.2027647577118348,True,True,True,False,True,False
88,1,1,23.0,3,2,5.575949103146316,False,False,False,False,True,True
89,0,3,24.0,0,0,2.2027647577118348,True,True,True,False,True,False
90,0,3,29.0,0,0,2.2027647577118348,True,True,True,False,True,False
91,0,3,20.0,0,0,2.180891922715322,True,True,True,False,True,False
92,0,1,46.0,1,0,4.1299529896894684,True,False,True,False,True,False
93,0,3,26.0,1,2,3.0715352369694915,True,False,True,False,True,False
94,0,3,59.0,0,0,2.1102132003465894,True,True,True,False,True,False
95,0,3,25.333333333333332,0,0,2.2027647577118348,True,True,True,False,True,False
96,0,1,71.0,0,0,3.57386695198272,True,True,True,False,False,False
97,1,1,23.0,0,1,4.164465907853638,True,False,True,False,False,False
98,1,2,34.0,0,1,3.1780538303479458,False,False,False,False,True,True
99,0,2,34.0,1,0,3.295836866004329,True,False,True,False,True,False
100,0,3,28.0,0,0,2.1855792552411137,False,True,False,False,True,True
101,0,3,31.333333333333332,0,0,2.1855792552411137,True,True,True,False,True,False
102,0,1,21.0,0,1,4.360387947851531,True,False,True,False,True,False
103,0,3,33.0,0,0,2.267393053825037,True,True,True,False,True,False
104,0,3,37.0,2,0,2.188856327665703,True,False,True,False,True,False
105,0,3,28.0,0,0,2.1855792552411137,True,True,True,False,True,False
106,1,3,21.0,0,0,2.157559320943788,False,True,False,False,True,True
107,1,3,26.666666666666668,0,0,2.1719067693519296,True,True,True,False,True,False
108,0,3,38.0,0,0,2.1855792552411137,True,True,True,False,True,False
109,1,3,30.0,1,0,3.224857896545748,False,False,False,True,False,True
110,0,1,47.0,0,0,3.970291913552122,True,True,True,False,True,False
111,0,3,14.5,1,0,2.737880811060884,False,False,False,False,False,False
112,0,3,22.0,0,0,2.2027647577118348,True,True,True,False,True,False
113,0,3,20.0,1,0,2.3818582738885534,False,False,False,False,True,True
114,0,3,17.0,0,0,2.738146075922933,False,True,False,False,False,True
115,0,3,21.0,0,0,2.188856327665703,True,True,True,False,True,False
116,0,3,70.5,0,0,2.169053700369523,True,True,True,True,False,False
117,0,2,29.0,1,0,3.091042453358316,True,False,True,False,True,False
118,0,1,24.0,0,1,5.515526544247129,True,False,True,False,False,False
119,0,3,2.0,4,2,3.4742929367327062,False,False,False,False,True,False
120,0,2,21.0,2,0,4.310799125385514,True,False,True,False,True,False
121,0,3,25.333333333333332,0,0,2.2027647577118348,True,True,True,False,True,False
122,0,2,32.5,1,0,3.436268471383741,True,False,True,False,False,False
123,1,2,32.5,0,0,2.6390573296152584,False,True,False,False,True,True
124,0,1,54.0,0,1,4.360387947851531,True,False,True,False,True,False
125,1,3,12.0,1,0,2.5048481563289,False,False,True,False,False,False
126,0,3,36.166666666666664,0,0,2.169053700369523,True,True,True,True,False,False
127,1,3,24.0,0,0,2.0969990034181696,True,True,True,False,True,False
128,1,3,14.0,1,1,3.1509523813392697,False,False,False,False,False,True
129,0,3,45.0,0,0,2.076311648670908,True,True,True,False,True,False
130,0,3,33.0,0,0,2.1855792552411137,True,True,True,False,False,False
131,0,3,20.0,0,0,2.085672091430472,True,True,True,False,True,False
132,0,3,47.0,1,0,2.740840023925201,False,False,False,False,True,True
133,1,2,29.0,1,0,3.295836866004329,False,False,False,False,True,True
134,0,2,25.0,0,0,2.6390573296152584,True,True,True,False,True,False
135,0,2,23.0,0,0,2.775447133088262,True,True,True,False,False,False
136,1,1,19.0,0,2,3.3062747934011893,False,False,False,False,True,True
137,0,1,37.0,1,0,3.9908341858524357,True,False,True,False,True,False
138,0,3,16.0,0,0,2.3240236363515288,True,True,True,False,True,False
139,0,1,24.0,0,0,4.384523514872469,True,True,True,False,False,False
140,0,3,23.5,0,2,2.7878344138303452,False,False,False,False,False,True
141,1,3,22.0,0,0,2.169053700369523,False,True,False,False,True,True
142,1,3,24.0,1,0,2.8243506567983707,False,False,False,False,True,True
143,0,3,19.0,0,0,2.0476928433652555,True,True,True,True,False,False
144,0,2,18.0,0,0,2.5257286443082556,True,True,True,False,True,False
145,0,2,19.0,1,1,3.6309854756950335,True,False,True,False,True,False
146,1,3,27.0,0,0,2.174274334826008,True,True,True,False,True,False
147,0,3,9.0,2,2,3.5660053559634015,False,False,False,False,True,False
148,0,2,36.5,0,2,3.295836866004329,True,False,True,False,True,False
149,0,2,42.0,0,0,2.6390573296152584,True,True,True,False,True,False
150,0,2,51.0,0,0,2.6045398247325453,True,True,True,False,True,False
151,1,1,22.0,1,0,4.213607983048918,False,False,False,False,True,True
152,0,3,55.5,0,0,2.2027647577118348,True,True,True,False,True,False
153,0,3,40.5,0,2,2.740840023925201,True,False,True,False,True,False
154,0,3,33.833333333333336,0,0,2.1177604059819726,True,True,True,False,True,False
155,0,1,51.0,0,1,4.133231886474144,True,False,True,False,False,False
156,1,3,16.0,0,0,2.167143305297764,False,True,False,True,False,True
157,0,3,30.0,0,0,2.2027647577118348,True,True,True,False,True,False
158,0,3,30.666666666666668,0,0,2.2682524139135403,True,True,True,False,True,False
159,0,3,38.333333333333336,8,2,4.256321678298823,True,False,True,False,True,False
160,0,3,44.0,0,1,2.8390784635086144,True,False,True,False,True,False
161,1,2,40.0,0,0,2.8183982582710754,False,True,False,False,True,True
162,0,3,26.0,0,0,2.1719067693519296,True,True,True,False,True,False
163,0,3,17.0,0,0,2.2682524139135403,True,True,True,False,True,False
164,0,3,1.0,4,1,3.705920919968788,False,False,True,False,True,False
165,1,3,9.0,0,2,3.0692150503137943,False,False,True,False,True,False
166,1,1,32.333333333333336,0,1,4.02535169073515,False,False,False,False,True,True
167,0,3,45.0,1,4,3.3638415951183864,False,False,False,False,True,True
168,0,1,53.666666666666664,0,0,3.2930552230424524,True,True,True,False,True,False
169,0,3,28.0,0,0,4.05171190165724,True,True,True,False,True,False
170,0,1,61.0,0,0,3.5409593240373143,True,True,True,False,True,False
171,0,3,4.0,4,1,3.405355391810819,False,False,True,True,False,False
172,1,3,1.0,1,1,2.495953738718064,False,False,False,False,True,False
173,0,3,21.0,0,0,2.188856327665703,True,True,True,False,True,False
174,0,1,56.0,0,0,3.4561841799918147,True,True,True,False,False,False
175,0,3,18.0,1,1,2.180891922715322,True,False,True,False,True,False
176,0,3,17.0,3,1,3.275887339030031,True,False,True,False,True,False
177,0,1,50.0,0,0,3.391567832686312,False,True,False,False,False,True
178,0,2,30.0,0,0,2.6390573296152584,True,True,True,False,True,False
179,0,3,36.0,0,0,0.0,True,True,True,False,True,False
180,0,3,38.333333333333336,8,2,4.256321678298823,False,False,False,False,True,True
181,0,2,36.666666666666664,0,0,2.775708849576025,True,True,True,False,False,False
182,0,3,9.0,4,2,3.4777725458882283,False,False,True,False,True,False
183,1,2,1.0,2,1,3.6888794541139363,False,False,True,False,True,False
184,1,3,4.0,0,2,3.1365805821413706,False,False,False,False,True,False
185,0,1,42.0,0,0,3.9318256327243257,True,True,True,False,True,False
186,1,3,30.666666666666668,1,0,2.803360380906535,False,False,False,True,False,True
187,1,1,45.0,0,0,3.3160025355989236,True,True,True,False,True,False
188,0,3,40.0,1,1,2.803360380906535,True,False,True,True,False,False
189,0,3,36.0,0,0,2.1855792552411137,True,True,True,False,True,False
190,1,2,32.0,0,0,2.6390573296152584,False,True,False,False,True,True
191,0,2,19.0,0,0,2.6390573296152584,True,True,True,False,True,False
192,1,3,19.0,1,0,2.180891922715322,False,False,False,False,True,True
193,1,2,3.0,1,1,3.295836866004329,False,False,True,False,True,False
194,1,1,44.0,0,0,3.357621598945279,False,True,False,False,False,True
195,1,1,58.0,0,0,4.993969182787072,False,True,False,False,False,True
196,0,3,36.166666666666664,0,0,2.169053700369523,True,True,True,True,False,False
197,0,3,42.0,0,1,2.2411563979973974,True,False,True,False,True,False
198,1,3,36.166666666666664,0,0,2.169053700369523,False,True,False,True,False,True
199,0,2,24.0,0,0,2.6390573296152584,False,True,False,False,True,True
200,0,3,28.0,0,0,2.3513752571634776,True,True,True,False,True,False
201,0,3,38.333333333333336,8,2,4.256321678298823,True,False,True,False,True,False
202,0,3,34.0,0,0,2.0143428636837015,True,True,True,False,True,False
203,0,3,45.5,0,0,2.1071782966514356,True,True,True,False,False,False
204,1,3,18.0,0,0,2.2027647577118348,True,True,True,False,True,False
205,0,3,2.0,0,1,2.4390808375825834,False,False,False,False,True,False
206,0,3,32.0,1,0,2.8243506567983707,True,False,True,False,True,False
207,1,3,26.0,0,0,2.9850504252071306,True,True,True,False,False,False
208,1,3,16.0,0,0,2.169053700369523,False,True,False,True,False,True
209,1,1,40.0,0,0,3.4657359027997265,True,True,True,False,False,False
210,0,3,24.0,0,0,2.085672091430472,True,True,True,False,True,False
211,1,2,35.0,0,0,3.091042453358316,False,True,False,False,True,True
212,0,3,22.0,0,0,2.1102132003465894,True,True,True,False,True,False
213,0,2,30.0,0,0,2.6390573296152584,True,True,True,False,True,False
214,0,3,23.0,1,0,2.169053700369523,True,False,True,True,False,False
215,1,1,31.0,1,0,4.738607824217808,False,False,False,False,False,True
216,1,3,27.0,0,0,2.188856327665703,False,True,False,False,True,True
217,0,2,42.0,1,0,3.332204510175204,True,False,True,False,True,False
218,1,1,32.0,0,0,4.347586575960343,False,True,False,False,False,True
219,0,2,30.0,0,0,2.4423470353692043,True,True,True,False,True,False
220,1,3,16.0,0,0,2.2027647577118348,True,True,True,False,True,False
221,0,2,27.0,0,0,2.6390573296152584,True,True,True,False,True,False
222,0,3,51.0,0,0,2.2027647577118348,True,True,True,False,True,False
223,0,3,31.333333333333332,0,0,2.1855792552411137,True,True,True,False,True,False
224,1,1,38.0,1,0,4.51085950651685,True,False,True,False,True,False
225,0,3,22.0,0,0,2.336986519711378,True,True,True,False,True,False
226,1,2,19.0,0,0,2.4423470353692043,True,True,True,False,True,False
227,0,3,20.5,0,0,2.1102132003465894,True,True,True,False,True,False
228,0,2,18.0,0,0,2.6390573296152584,True,True,True,False,True,False
229,0,3,17.0,3,1,3.275887339030031,False,False,False,False,True,True
230,1,1,35.0,1,0,4.436455632600354,False,False,False,False,True,True
231,0,3,29.0,0,0,2.1719067693519296,True,True,True,False,True,False
232,0,2,59.0,0,0,2.6741486494265287,True,True,True,False,True,False
233,1,3,5.0,4,2,3.4777725458882283,False,False,False,False,True,False
234,0,2,24.0,0,0,2.4423470353692043,True,True,True,False,True,False
235,0,3,29.0,0,0,2.145931282948669,False,True,False,False,True,True
236,0,2,44.0,1,0,3.295836866004329,True,False,True,False,True,False
237,1,2,8.0,0,2,3.305053521109253,False,False,False,False,True,False
238,0,2,19.0,0,0,2.4423470353692043,True,True,True,False,True,False
239,0,2,33.0,0,0,2.5858825671280026,True,True,True,False,True,False
240,0,3,22.5,1,0,2.737880811060884,False,False,False,False,False,True
241,1,3,30.666666666666668,1,0,2.803360380906535,False,False,False,True,False,True
242,0,2,29.0,0,0,2.4423470353692043,True,True,True,False,True,False
243,0,3,22.0,0,0,2.094945728215801,True,True,True,False,True,False
244,0,3,30.0,0,0,2.1071782966514356,True,True,True,False,False,False
245,0,1,44.0,2,0,4.51085950651685,True,False,True,True,False,False
246,0,3,25.0,0,0,2.1719067693519296,False,True,False,False,True,True
247,1,2,24.0,0,2,2.740840023925201,False,False,False,False,True,True
248,1,1,37.0,1,1,3.9806942251907276,True,False,True,False,True,False
249,0,2,54.0,1,0,3.295836866004329,True,False,True,False,True,False
250,0,3,33.833333333333336,0,0,2.1102132003465894,True,True,True,False,True,False
251,0,3,29.0,1,1,2.4390808375825834,False,False,False,False,True,True
252,0,1,62.0,0,0,3.3160025355989236,True,True,True,False,True,False
253,0,3,30.0,1,0,2.8390784635086144,True,False,True,False,True,False
254,0,3,41.0,0,2,3.0545906305603445,False,False,False,False,True,True
255,1,3,29.0,0,2,2.7878344138303452,False,False,False,False,False,True
256,1,1,32.0,0,0,4.384523514872469,False,True,False,False,False,True
257,1,1,30.0,0,0,4.471638793363569,False,True,False,False,True,True
258,1,1,35.0,0,0,6.240917354759096,False,True,False,False,False,True
259,1,2,50.0,0,1,3.295836866004329,False,False,False,False,True,True
260,0,3,36.166666666666664,0,0,2.169053700369523,True,True,True,True,False,False
261,1,3,3.0,4,2,3.4777725458882283,False,False,True,False,True,False
262,0,1,52.0,1,1,4.390118804571218,True,False,True,False,True,False
263,0,1,40.0,0,0,0.0,True,True,True,False,True,False
264,0,3,36.166666666666664,0,0,2.169053700369523,False,True,False,True,False,True
265,0,2,36.0,0,0,2.4423470353692043,True,True,True,False,True,False
266,0,3,16.0,4,1,3.705920919968788,True,False,True,False,True,False
267,1,3,25.0,1,0,2.1719067693519296,True,False,True,False,True,False
268,1,1,58.0,0,1,5.039951348430309,False,False,False,False,True,True
269,1,1,35.0,0,0,4.91730069488021,False,True,False,False,True,True
270,0,1,42.0,0,0,3.4657359027997265,True,True,True,False,True,False
271,1,3,25.0,0,0,0.0,True,True,True,False,True,False
272,1,2,41.0,0,1,3.0204248861443626,False,False,False,False,True,True
273,0,1,37.0,0,1,3.4242626545931514,True,False,True,False,False,False
274,1,3,36.166666666666664,0,0,2.169053700369523,False,True,False,True,False,True
275,1,1,63.0,1,0,4.368919865004903,False,False,False,False,True,True
276,0,3,45.0,0,0,2.169053700369523,False,True,False,False,True,True
277,0,2,33.666666666666664,0,0,0.0,True,True,True,False,True,False
278,0,3,7.0,4,1,3.405355391810819,False,False,True,True,False,False
279,1,3,35.0,1,1,3.056356895370426,False,False,False,False,True,True
280,0,3,65.0,0,0,2.169053700369523,True,True,True,True,False,False
281,0,3,28.0,0,0,2.180891922715322,True,True,True,False,True,False
282,0,3,16.0,0,0,2.3513752571634776,True,True,True,False,True,False
283,1,3,19.0,0,0,2.2027647577118348,True,True,True,False,True,False
284,0,1,53.666666666666664,0,0,3.295836866004329,True,True,True,False,True,False
285,0,3,33.0,0,0,2.2682524139135403,True,True,True,False,False,False
286,1,3,30.0,0,0,2.3513752571634776,True,True,True,False,True,False
287,0,3,22.0,0,0,2.1855792552411137,True,True,True,False,True,False
288,1,2,42.0,0,0,2.6390573296152584,True,True,True,False,True,False
289,1,3,22.0,0,0,2.169053700369523,False,True,False,True,False,True
290,1,1,26.0,0,0,4.380149874661021,False,True,False,False,True,True
291,1,1,19.0,1,0,4.5226490762785785,False,False,False,False,False,True
292,0,2,36.0,0,0,2.630088659632498,True,True,True,False,False,False
293,0,3,24.0,0,0,2.2874714551839976,False,True,False,False,True,True
294,0,3,24.0,0,0,2.1855792552411137,True,True,True,False,True,False
295,0,1,38.0,0,0,3.357621598945279,True,True,True,False,False,False
296,0,3,23.5,0,0,2.1076888046179385,True,True,True,False,False,False
297,0,1,2.0,1,2,5.027492411162679,False,False,False,False,True,False
298,1,1,44.666666666666664,0,0,3.449987545831587,True,True,True,False,True,False
299,1,1,50.0,0,1,5.515526544247129,False,False,False,False,False,True
300,1,3,36.166666666666664,0,0,2.169053700369523,False,True,False,True,False,True
301,1,3,27.333333333333332,2,0,3.188416617383492,True,False,True,True,False,False
302,0,3,19.0,0,0,0.0,True,True,True,False,True,False
303,1,2,40.0,0,0,2.5915163848462583,False,True,False,True,False,True
304,0,3,25.333333333333332,0,0,2.2027647577118348,True,True,True,False,True,False
305,1,1,0.92,1,2,5.027492411162679,False,False,True,False,True,False
306,1,1,35.0,0,0,4.717456363787216,False,True,False,False,False,True
307,1,1,17.0,1,0,4.699570861409576,False,False,False,False,False,True
308,0,2,30.0,1,0,3.2188758248682006,True,False,True,False,False,False
309,1,1,30.0,0,0,4.0592215752427645,False,True,False,False,False,True
310,1,1,24.0,0,0,4.432699549165613,False,True,False,False,False,True
311,1,1,18.0,2,2,5.5735788721243535,False,False,False,False,False,True
312,0,2,26.0,1,1,3.295836866004329,False,False,False,False,True,True
313,0,3,28.0,0,0,2.1855792552411137,True,True,True,False,True,False
314,0,2,43.0,1,1,3.305053521109253,True,False,True,False,True,False
315,1,3,26.0,0,0,2.180891922715322,False,True,False,False,True,True
316,1,2,24.0,1,0,3.295836866004329,False,False,False,False,True,True
317,0,2,54.0,0,0,2.70805020110221,True,True,True,False,True,False
318,1,1,31.0,0,2,5.11118445372147,False,False,False,False,True,True
319,1,1,40.0,1,1,4.908971640319756,False,False,False,False,False,True
320,0,3,22.0,0,0,2.1102132003465894,True,True,True,False,True,False
321,0,3,27.0,0,0,2.1855792552411137,True,True,True,False,True,False
322,1,2,30.0,0,0,2.5915163848462583,False,True,False,True,False,True
323,1,2,22.0,1,1,3.4011973816621555,False,False,False,False,True,True
324,0,3,38.333333333333336,8,2,4.256321678298823,True,False,True,False,True,False
325,1,1,36.0,0,0,4.91730069488021,False,True,False,False,False,True
326,0,3,61.0,0,0,1.9792758428991135,True,True,True,False,True,False
327,1,2,36.0,0,0,2.6390573296152584,False,True,False,False,True,True
328,1,3,31.0,1,1,3.0692150503137943,False,False,False,False,True,True
329,1,1,16.0,0,1,4.077184839375167,False,False,False,False,False,True
330,1,3,27.333333333333332,2,0,3.188416617383492,False,False,False,True,False,True
331,0,1,45.5,0,0,3.3843902633457743,True,True,True,False,True,False
332,0,1,38.0,0,1,5.039951348430309,True,False,True,False,True,False
333,0,3,16.0,2,0,2.9444389791664403,True,False,True,False,True,False
334,1,1,43.666666666666664,1,0,4.902678819257608,False,False,False,False,True,True
335,0,3,31.333333333333332,0,0,2.1855792552411137,True,True,True,False,True,False
336,0,1,29.0,1,0,4.213607983048918,True,False,True,False,True,False
337,1,1,41.0,0,0,4.908971640319756,False,True,False,False,False,True
338,1,3,45.0,0,0,2.2027647577118348,True,True,True,False,True,False
339,0,1,45.0,0,0,3.597312260588446,True,True,True,False,True,False
340,1,2,2.0,1,1,3.295836866004329,False,False,True,False,True,False
341,1,1,24.0,3,2,5.575949103146316,False,False,False,False,True,True
342,0,2,28.0,0,0,2.6390573296152584,True,True,True,False,True,False
343,0,2,25.0,0,0,2.6390573296152584,True,True,True,False,True,False
344,0,2,36.0,0,0,2.6390573296152584,True,True,True,False,True,False
345,1,2,24.0,0,0,2.6390573296152584,False,True,False,False,True,True
346,1,2,40.0,0,0,2.6390573296152584,False,True,False,False,True,True
347,1,3,26.666666666666668,1,0,2.8390784635086144,False,False,False,False,True,True
348,1,3,3.0,1,1,2.827313621929028,False,False,True,False,True,False
349,0,3,42.0,0,0,2.2682524139135403,True,True,True,False,True,False
350,0,3,23.0,0,0,2.3248357019288655,True,True,True,False,True,False
351,0,1,48.0,0,0,3.58351893845611,True,True,True,False,True,False
352,0,3,15.0,1,1,2.1076888046179385,False,False,True,False,False,False
353,0,3,25.0,1,0,2.9338568698359038,True,False,True,False,True,False
354,0,3,32.5,0,0,2.1071782966514356,True,True,True,False,False,False
355,0,3,28.0,0,0,2.3513752571634776,True,True,True,False,True,False
356,1,1,22.0,0,1,4.02535169073515,False,False,False,False,True,True
357,0,2,38.0,0,0,2.6390573296152584,False,True,False,False,True,True
358,1,3,24.666666666666668,0,0,2.1837114628556327,False,True,False,True,False,True
359,1,3,24.666666666666668,0,0,2.1837114628556327,False,True,False,True,False,True
360,0,3,40.0,1,4,3.3638415951183864,True,False,True,False,True,False
361,0,2,29.0,1,0,3.357621598945279,True,False,True,False,False,False
362,0,3,45.0,0,1,2.737880811060884,False,False,False,False,False,True
363,0,3,35.0,0,0,2.085672091430472,True,True,True,False,True,False
364,0,3,30.666666666666668,1,0,2.803360380906535,True,False,True,True,False,False
365,0,3,30.0,0,0,2.1102132003465894,True,True,True,False,True,False
366,1,1,60.0,1,0,4.334017415487521,False,False,False,False,False,True
367,1,3,24.666666666666668,0,0,2.1076888046179385,False,True,False,False,False,True
368,1,3,36.166666666666664,0,0,2.169053700369523,False,True,False,True,False,True
369,1,1,24.0,0,0,4.252771798816619,False,True,False,False,False,True
370,1,1,25.0,1,0,4.0332082470129285,True,False,True,False,False,False
371,0,3,18.0,1,0,2.0143428636837015,True,False,True,False,True,False
372,0,3,19.0,0,0,2.2027647577118348,True,True,True,False,True,False
373,0,1,22.0,0,0,4.91730069488021,True,True,True,False,False,False
374,0,3,3.0,3,1,3.0944457464900235,False,False,False,False,True,False
375,1,1,36.0,1,0,4.420896324687287,False,False,False,False,False,True
376,1,3,22.0,0,0,2.1102132003465894,False,True,False,False,True,True
377,0,1,27.0,0,2,5.358941988364472,True,False,True,False,False,False
378,0,3,20.0,0,0,1.6119347926326877,True,True,True,False,False,False
379,0,3,19.0,0,0,2.1719067693519296,True,True,True,False,True,False
380,1,1,42.0,0,0,5.4316456135398825,False,True,False,False,False,True
381,1,3,1.0,0,2,2.817902613071225,False,False,False,False,False,False
382,0,3,32.0,0,0,2.188856327665703,True,True,True,False,True,False
383,1,1,35.0,1,0,3.970291913552122,False,False,False,False,True,True
384,0,3,31.333333333333332,0,0,2.1855792552411137,True,True,True,False,True,False
385,0,2,18.0,0,0,4.310799125385514,True,True,True,False,True,False
386,0,3,1.0,5,2,3.8691155044168695,False,False,True,False,True,False
387,1,2,36.0,0,0,2.6390573296152584,False,True,False,False,True,True
388,0,3,20.666666666666668,0,0,2.1666737276227077,True,True,True,True,False,False
389,1,2,17.0,0,0,2.5649493574615367,False,True,False,False,False,True
390,1,1,36.0,1,2,4.795790545596741,True,False,True,False,True,False
391,1,3,21.0,0,0,2.174274334826008,True,True,True,False,True,False
392,0,3,28.0,2,0,2.188856327665703,True,False,True,False,True,False
393,1,1,23.0,1,0,4.738607824217808,False,False,False,False,False,True
394,1,3,24.0,0,2,2.8735646395797834,False,False,False,False,True,True
395,0,3,22.0,0,0,2.174274334826008,True,True,True,False,True,False
